General Logger: 	2026/03/15 09:26:27 response.go:9: Data recebido: pong
General Logger: 	2026/03/15 10:31:00 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:32:28 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:32:38 response.go:9: Data recebido: pong
General Logger: 	2026/03/15 10:32:39 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:33:53 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:34:45 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:34:48 response.go:9: Data recebido: pong
General Logger: 	2026/03/15 10:34:48 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:37:00 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:37:02 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:37:31 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:37:37 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:37:56 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:38:04 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:38:07 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:38:09 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:38:15 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:38:32 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:38:41 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:39:33 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:39:50 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:39:54 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:43:47 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:44:30 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:44:32 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:44:37 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:44:57 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:45:00 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:45:35 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:48:36 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:49:45 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:49:51 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:50:01 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:50:47 response.go:9: Data recebido: pong
General Logger: 	2026/03/15 10:50:47 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:53:53 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
